run,freq_hz,temperature_C,G_storage_pa,G_loss_pa,G_abs_pa,tan_delta,force_dyn_N,strain_dyn_pct
sd_10hz,10,22.2736,5351891.423162926,263145.0174433227,5358356.75422327,0.04916860164696802,0.356690841828939,0.010594500000014015
sd_10hz,10,22.2154,5098107.908944157,380748.7115499756,5112306.1168699525,0.07468431785878588,0.4550268132237404,0.014165772727291468
sd_10hz,10,22.1711,5119262.573519866,464595.10585783503,5140301.344184823,0.09075430282889202,0.7307404420081011,0.022625318181848115
sd_10hz,10,22.2044,5137004.300843339,458164.01852650737,5157395.413845571,0.08918894976422168,1.0018451969806477,0.0309165000000409
sd_10hz,10,22.2442,5179208.937395299,487630.6042338178,5202113.880277976,0.09415156062019278,1.4759293535017417,0.04515500000005973
sd_10hz,10,22.2496,5046636.375668892,544311.1297570213,5075905.171907945,0.10785622130044532,2.1232811716986495,0.06657545454554262
sd_10hz,10,22.205,5030172.856901606,546501.009935226,5059772.951839824,0.10864457852286408,3.1687157175285585,0.09967181818195003
sd_10hz,10,22.2148,4959375.673099607,575505.172551257,4992655.933525304,0.11604387537586291,4.594147410241855,0.1464513636365574
sd_10hz,10,22.2361,4879090.308584016,598904.2134905981,4915710.375546475,0.12274915519331903,6.642116984490623,0.21505045454573904
sd_10hz,10,22.2488,4763905.054693554,630708.9641592744,4805474.49973524,0.13239326916011465,9.552115920018908,0.3163613636367822
sd_10hz,10,22.2779,4604002.80741482,658479.308476437,4650853.346470425,0.14302322044981064,13.606375253068606,0.46561818181879777
sd_10hz,10,22.2634,4415507.998375876,683752.9898260342,4468134.849667965,0.1548526217317541,19.16211769550507,0.6825545454554484
sd_10hz,10,22.2308,4210528.312590389,698215.6654370285,4268026.919618354,0.16582614189986872,26.830943801423157,1.0005272727285963
sd_10hz,10,22.1686,4141702.3942577024,697773.7274371773,4200069.868145238,0.16847510057811288,29.96347835989541,1.135418181819684
sd_10hz,10,22.1657,4128372.8313661977,701653.6046906111,4187574.4788287506,0.16995887565184215,29.949681731131196,1.138281818183324
